timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
192000,192000,-6.984128e-05,0.00024576802,5.2649466e-05,0.0,0.0,0.0,0.0,-1.0
196000,196000,-0.00010550751,0.00014479017,7.4558375e-05,0.0,0.0,0.0,0.0,-1.0
244000,244000,3.147021e-05,0.0001326183,4.329465e-05,0.0,0.0,0.0,0.0,-1.0
292000,292000,-0.00031718874,0.00026891823,-7.555238e-06,0.0,0.0,0.0,0.0,-1.0
344000,344000,0.00015666935,0.00031092172,-2.989507e-05,0.0,0.0,0.0,0.0,-1.0
392000,392000,5.1543066e-05,0.0006029529,5.5226e-05,0.0,0.0,0.0,0.0,-1.0
444000,444000,2.9827637e-05,0.00021630008,-0.00015175468,0.0,0.0,0.0,0.0,-1.0
492000,492000,-9.795012e-05,0.00016103822,-2.0366975e-05,0.0,0.0,0.0,0.0,-1.0
540000,540000,0.00023384967,8.760955e-05,-0.00021481416,0.0,0.0,0.0,0.0,-1.0
592000,592000,0.00025946682,6.9030284e-05,1.1837711e-06,0.0,0.0,0.0,0.0,-1.0
644000,644000,-0.00010904191,0.0001833084,-9.879612e-05,0.0,0.0,0.0,0.0,-1.0
692000,692000,0.00023836624,0.00037805788,0.000118694734,0.0,0.0,0.0,0.0,-1.0
744000,744000,0.00019647855,0.00018507101,0.00016475181,0.0,0.0,0.0,0.0,-1.0
792000,792000,-0.00010955917,0.000119285774,0.00012708385,0.0,0.0,0.0,0.0,-1.0
844000,844000,0.00020325219,0.000106479354,-0.00026387442,0.0,0.0,0.0,0.0,-1.0
892000,892000,-1.885264e-05,0.0001241558,8.021679e-05,0.0,0.0,0.0,0.0,-1.0
944000,944000,0.0003129582,0.00042491732,0.00022411109,0.0,0.0,0.0,0.0,-1.0
992000,992000,0.00014477353,0.00029719135,-1.3316581e-05,0.0,0.0,0.0,0.0,-1.0
1044000,1044000,0.00024807177,0.00048337493,0.000103985825,0.0,0.0,0.0,0.0,-1.0
1088000,1088000,-1.6733553e-05,-1.2652905e-05,4.8637416e-05,0.0,0.0,0.0,0.0,-1.0
1144000,1144000,0.00010815922,0.0006907553,-9.677052e-05,0.0,0.0,0.0,0.0,-1.0
1192000,1192000,-0.0002833501,-4.3934167e-05,3.3958153e-05,0.0,0.0,0.0,0.0,-1.0
1244000,1244000,0.0047391164,0.0046891165,7.186314e-05,0.001,0.0,0.0,0.0,-1.0
1292000,1292000,0.0047932635,0.0049556354,0.00015356591,0.001,0.0,0.0,0.0,-1.0
1344000,1344000,0.0048699314,0.0050660856,0.00019550347,0.001,0.0,0.0,0.0,-1.0
1392000,1392000,0.004721177,0.0050643254,0.00012447902,0.001,0.0,0.0,0.0,-1.0
1444000,1444000,0.0049827104,0.0053958558,9.419975e-05,0.001,0.0,0.0,0.0,-1.0
1492000,1492000,0.004461321,0.005066919,-2.3803465e-05,0.001,0.0,0.0,0.0,-1.0
1544000,1544000,0.004717101,0.0050755674,-0.00019583292,0.001,0.0,0.0,0.0,-1.0
1592000,1592000,0.0047979024,0.004950659,-7.098726e-05,0.001,0.0,0.0,0.0,-1.0
1644000,1644000,0.0049064173,0.0051572593,-7.609179e-05,0.001,0.0,0.0,0.0,-1.0
1692000,1692000,0.004728916,0.0051611415,-0.00022155796,0.001,0.0,0.0,0.0,-1.0
1744000,1744000,0.004458734,0.0047877007,-0.00016043238,0.001,0.0,0.0,0.0,-1.0
1792000,1792000,0.0039917557,0.0052227294,-5.6954927e-05,0.001,0.0,0.0,0.0,-1.0
1844000,1844000,0.0044064615,0.0052724066,0.0001500126,0.001,0.0,0.0,0.0,-1.0
1892000,1892000,0.0040645236,0.0049315086,-0.00021465523,0.001,0.0,0.0,0.0,-1.0
1944000,1944000,0.003899141,0.004975149,5.671893e-05,0.001,0.0,0.0,0.0,-1.0
1992000,1992000,0.0036638675,0.0043343343,-0.00039121034,0.001,0.0,0.0,0.0,-1.0
2044000,2044000,0.003808201,0.0043700673,-0.00028679374,0.001,0.0,0.0,0.0,-1.0
2088000,2088000,0.0037479128,0.0045173825,-0.00025772615,0.001,0.0,0.0,0.0,-1.0
2144000,2144000,0.0039450647,0.004530672,4.2814295e-06,0.001,0.0,0.0,0.0,-1.0
2192000,2192000,0.0037448434,0.0041090855,1.3158331e-05,0.001,0.0,0.0,0.0,-1.0
2244000,2244000,0.0037980415,0.0037536286,-0.00057710445,0.001,0.0,0.0,0.0,-1.0
2292000,2292000,0.00365932,0.004148521,-0.0002473948,0.001,0.0,0.0,0.0,-1.0
